,년도,직무명,장애유형,참고자료
87,2005,국가기록물 DB 구축,"정신, 신장, 뇌병변, 청각",/cmm/fms/downloadDirect.do?key=032A9C868A5822A44984
88,,도서관 사서보조,"정신, 청각, 안면",/cmm/fms/downloadDirect.do?key=7012391EBAB19FB22FAE
89,,쇼핑컨설턴트,"지체, 뇌병변, 신장, 시각",/cmm/fms/downloadDirect.do?key=8EA6B3601FD90AA04939
90,,스팀세차,지적,/cmm/fms/downloadDirect.do?key=F57A012AEC0D441A5836
91,,전화 민원상담,지체,/cmm/fms/downloadDirect.do?key=3A4B0019AE37446BBD79
92,2004,자동차 세차,지적,/cmm/fms/downloadDirect.do?key=C820D10A84CB64127B99
93,,인터넷 직업상담(재택),뇌병변,/cmm/fms/downloadDirect.do?key=4DD08062BEFEA8D7AF75
94,,정부부문 사무보조,"지체, 자폐성 등",/cmm/fms/downloadDirect.do?key=77BBDD0BA4C6793F7D12
95,2003,금형모델링,"지체, 뇌병변",/cmm/fms/downloadDirect.do?key=3791F318F501E1966D92
96,,외식서비스 및 주유소 세차,지적,/cmm/fms/downloadDirect.do?key=96C5685A75BDD0FF16A5
97,,웹콜마케터,지체,/cmm/fms/downloadDirect.do?key=32EF9655A6DE0415B273
98,,컴퓨터 수리,정신,/cmm/fms/downloadDirect.do?key=4254331181B2C02B8E20
99,,PCB-ARTWORK,지체,/cmm/fms/downloadDirect.do?key=A0B5E6235DED3F5A8A58
100,2002,간병사,지적,/cmm/fms/downloadDirect.do?key=F476976DD6B887AC31B3
101,,텔레마케팅,정신,/cmm/fms/downloadDirect.do?key=6136BB839540B35D2669
102,,환경 미화,지적,/cmm/fms/downloadDirect.do?key=05BA3EDE58528EB8C564
103,2001,외식업 서비스,지적,/cmm/fms/downloadDirect.do?key=C18FFD43EDA46536CE9B
104,,자료 입력원,신장,/cmm/fms/downloadDirect.do?key=E4A2843F9877C646D7E4
105,,컴퓨터 속기(1998년 첫 추진),시각,/cmm/fms/downloadDirect.do?key=DA2DDD4289CB34F6F808
